Debug Code,Error or Problem,Verified,Status,Priority,Category,Affected Services,Primary Files,Best Fix,Implementation Selected,Pros,Cons,Risk,Tests Required,Verification Result,Commit or Change Reference,Last Updated,Likely Next Fix
DBG-1001,Unauthenticated AI endpoint,Yes,Verified,Critical,Security,Frontend; API; Auth; AI,server/index.js; src/App.tsx,Auth plus bounded requests and abuse controls,Layered security,Blocks anonymous credit use,In-memory limiter is single-process,Legitimate requests can be throttled,API auth; limits; timeout; audit,✅ 15 tests passed; production build passed,Working tree,2026-07-19,Minimize context then add quotas
DBG-1002,Entire vault sent to OpenAI,Yes,Verified,Critical,Privacy,Frontend; AI,src/App.tsx; server/index.js,Explicit bounded page context,Opt-in current-page context,Lower cost and exposure,May omit relevant context,Answer quality may vary,Context isolation; legacy payload rejection; build,✅ 17 tests passed; production build passed,Working tree,2026-07-20,Monitor context quality
DBG-1003,JWT stored in localStorage,Yes,Verified,Critical,Security,Frontend; Auth,src/App.tsx; src/codeVault/api.ts; server/auth.js; server/index.js,HttpOnly Secure SameSite cookie,JWT-backed HttpOnly cookie plus CSRF header,Removes browser-readable session token,Bearer compatibility remains; cookie logout needs server availability,Session and CSRF regression,Auth response; cookie flags; CSRF; logout; Code Vault requests; build,✅ 20 tests passed; production build passed,Working tree,2026-07-21,Monitor session behavior
DBG-1004,Production JWT fallback,Yes,Confirmed,Critical,Security,Auth,server/auth.js,Fail production startup without secret,Not selected,Prevents predictable signing,Needs deployment secret,Production outage if misconfigured,Startup tests,Needs implementation,None,2026-07-19,Add environment validation
DBG-1005,Incomplete rate limiting,Yes,Planned,Critical,Reliability,API; Auth; AI; GitHub,server/index.js; server/ai-security.js,Endpoint-specific persistent quotas,AI in-memory layer only,Reduces immediate AI abuse,Not distributed,Other routes remain exposed,Quota and concurrency tests,Partial for AI,None,2026-07-19,Protect auth routes
DBG-1006,Workspace JSON blob,Yes,Confirmed,High,Data,Database; Sync,server/db.js,Incremental normalization,Not selected,Queryable records,Migration complexity,Data migration,Migration tests,Needs implementation,None,2026-07-19,Inventory entities
DBG-1007,Conflict-unsafe sync,Yes,Confirmed,High,Reliability,Sync; Database,server/db.js; server/index.js,Expected-version optimistic concurrency,Not selected,Prevents silent overwrite,Needs merge UX,409 conflicts,Concurrency tests,Needs implementation,None,2026-07-19,Add workspace version
DBG-1008,App component monolith,Yes,Confirmed,Medium,Maintainability,Frontend,src/App.tsx,Extract bounded feature modules,Not selected,Smaller review surface,Refactor risk,UI regression,Characterization tests,Needs implementation,None,2026-07-19,Add tests before extraction
DBG-1009,Server monolith,Yes,Confirmed,Medium,Maintainability,API,server/index.js,Extract routers and services,Not selected,Clear boundaries,Import and middleware risk,Route regression,Supertest coverage,Needs implementation,None,2026-07-19,Extract AI router
DBG-1010,Rich-text sanitization,Partial,Confirmed,High,Security,Frontend,src/App.tsx,Sanitize untrusted HTML,Not selected,Reduces XSS,Can alter formatting,Stored XSS,Sanitization tests,Needs full sink trace,None,2026-07-19,Trace HTML lifecycle
DBG-1011,Input validation,Yes,Confirmed,High,Security,API,server/index.js,Shared route schemas,Agent validation only,Consistent contracts,Migration work,Malformed payloads,Boundary tests,Partial,None,2026-07-19,Inventory all routes
DBG-1012,Dependency pinning,Yes,Confirmed,Medium,Build,Build/CI,package.json,Pin intentional versions,Not selected,Reproducible installs,Manual upgrades,Supply-chain drift,Clean install and build,Needs implementation,None,2026-07-19,Choose pin policy
DBG-1013,Package separation,Yes,Confirmed,Low,Architecture,API; Build/CI,package.json,Split when deployment boundary requires it,Not selected,Independent tooling,More maintenance,Premature complexity,Build matrix,Needs decision,None,2026-07-19,Document boundaries
DBG-1014,Monaco and React state pressure,Partial,Confirmed,Medium,Performance,Frontend; Monaco Editor,src/codeVault/CodeVaultWorkspace.tsx,Keep file bodies outside broad component state,Not selected,Lower render memory,Cache complexity,Large repo responsiveness,Profiling and UI tests,Needs profiling,None,2026-07-19,Create performance fixture
